ELIZABETH Konin Leszczyńska, Żywioł Sp.j.;(63)2414320;;
ELIZABETH Konin Leszczyńska, Żywioł Sp.j.;(63)2414322;;
MODA ZIELIŃSCY;(22)7395557;;
MODA ZIELIŃSCY;(22)7395536;;
Agnieszka Michalak STUDIO MODY ŚLUBNEJ;604849406-AgnieszkaDałek;;
Agnieszka Michalak STUDIO MODY ŚLUBNEJ;604261698-AgnieszkaMichalak;;
ALPINA MRÓZ Salon Sukien Ślubnych;513477305Salon;;
ALPINA MRÓZ Salon Sukien Ślubnych;509905795;;
ASPENA Salon Mody Ślubnej;(58)6772700;;
Centrum Mody Ślubnej i Wieczorowej KSYMENA Iwona Czapla;(32)2853883;;
Centrum Mody Ślubnej i Wieczorowej KSYMENA Iwona Czapla;609822613;;
JORG Hurtownia Artykułów Ślubnych;(32)2650033;;
JORG Hurtownia Artykułów Ślubnych;(32)2697766;;
Salon i Komis Sukien Ślubnych NIKOL;503995776;;
Salon i Komis Sukien Ślubnych NIKOL;(32)7936938;;
Salon Sukien Ślubnych NADIA;796003990;;
SCARLETT Suknie Ślubne;608378148;;
Suknie Ślubne HELENA;(32)3891119;;
Agnes S.c.;(75)6422031;;
Agnes S.c.;602483327;;
Bella Moda;(81)7409779;;
Bella Moda;606102136;;
Centrum Mody Ślubnej PARYŻANKA;(41)3449828;;
Centrum Mody Ślubnej PARYŻANKA;795578896;;
CENTRUM WIZERUNKU JOANNA;512272519;;
DESIRER;(22)2478535;;
DESIRER;600854724;;
Dom Mody FULARA & ŻYWCZYK;(12)6334302;;
Dom Mody FULARA & ŻYWCZYK;661177575;;
DYPLOMATA & PAN MŁODY;(22)6299127;;
DYPLOMATA & PAN MŁODY;604622611;;
Firma DIANA Teresa Kozieł;514286848;;
Kristin - Świat Kapeluszy i Dodatków Ślubnych;(61)6630445(salonipracownia);;
Kristin - Świat Kapeluszy i Dodatków Ślubnych;510185999;;
NINA Producent Dodatków Ślubnych i Komunijnych;785548765;;
NINA Producent Dodatków Ślubnych i Komunijnych;(42)6591990;;
Pracownia Sukien Ślubnych Ewa Stawna;(67)3452549;;
Pracownia Sukien Ślubnych Ewa Stawna;604169328;;
Pracownia Sukien Ślubnych MAGDA;692934714;;
Pracownia Sukien Ślubnych MAGDA;(34)3178171;;
PRINCESSE Salon Ślubny;(85)3070160;;
RICA S.c.;(42)6831587;;
RICA S.c.;602764180;;
Salon Mody Ślubnej i Wieczorowej;663956556;;
Salon Sukien Ślubnych AGATA;507098820;;
Salon Sukien Ślubnych ALICJA Alicja Mokrysz;(33)8582440;;
Salon Sukien Ślubnych ALICJA Alicja Mokrysz;604229864;;
Salon Sukien Ślubnych CEZAR;(59)8413925;;
Salon Sukien Ślubnych CEZAR;608391808;;
Salon Sukien Ślubnych Le Mariage;504297858;;
Salon Sukien Ślubnych PARISEL;509439506Łuków;;
Salon Sukien Ślubnych PARISEL;539380209Garwolin;;
Salon Sukien Ślubnych VIRGINIA Eugenii Janczarek;(89)5273678;;
Salon Sukien Ślubnych VIRGINIA Eugenii Janczarek;(89)5273677;;
Salon Sukni Ślubnych Biała Dama;691713799;;
Salon Ślubny MariA;882522833;;
SECRET ANGEL - DEXA;(41)3436161;;
SECRET ANGEL - DEXA;795570302;;
Silvana;607822093;;
Studio Mody Ślubnej MARIAGE;(61)2967275;;
Studio Mody Ślubnej MARIAGE;602347401;;
Suknie Ślubne EWA;889490987;;
Suknie Ślubne RENE;(77)4575633;;
Suknie Ślubne RENE;695433541;;
Szycie Sukien Ślubnych DOROTA STUDIO Dorota Jóźwik;606644664;;
Ślubne Inspiracje S.c. Barbara Pielech & Halina Chomiak;(76)8491447;;
Ślubne Inspiracje S.c. Barbara Pielech & Halina Chomiak;509565410;;
Salon Sukien Ślubnych Mariees;662452760;;
Salon Sukien Ślubnych SINDRELLA;693715838;;
Firma MAJA;(12)4219943;;
Firma MAJA;(12)6321236w.34;;
Hotel** Restauracja JAŚ WĘDROWNICZEK, VICTORIA COBURG Obuwie i Parasolki Ślubne;(13)4356733;;
Hotel** Restauracja JAŚ WĘDROWNICZEK, VICTORIA COBURG Obuwie i Parasolki Ślubne;(13)4924131;;
Sensatiano;(12)2701313;;
Sensatiano;(12)2701501;;
AMSTYL;788504030(9:00-16:00);;
Del Finio;(85)6540055;;
F.P.H.U. LINTA;(44)6340101;;
F.P.H.U. LINTA;(44)6340102;;
FALKON;(32)2667985;;
FALKON;(32)3605235;;
JANEX S.c. Jan i Krystyna Ziółkowscy;(42)7175860;;
JANEX S.c. Jan i Krystyna Ziółkowscy;601296870;;
KRISMARG;(17)8523782;;
KRISMARG;883443846;;
RISCA;(42)2093281;;
RISCA;(42)2093244;;
Florima Spółka z ograniczoną odpowiedzialnością Sp.K.;(42)7161625;;
Florima Spółka z ograniczoną odpowiedzialnością Sp.K.;(42)7161627;;
GalaSerwis.pl Sp. z o.o.;(77)4836633;;
GalaSerwis.pl Sp. z o.o.;507134900(SuknieŚlubne);;
Pracownia Szat Liturgicznych Z.P.H. WEG-TOR;(56)6543421;;
Pracownia Szat Liturgicznych Z.P.H. WEG-TOR;502411022;;
Regina Diamante;(81)5280017;;
WĘC Twój Jubiler;(12)6511462;;
WĘC Twój Jubiler;(12)6511469;;
FonFon;510247037;;
Salon Sukien Ślubnych Malena;511040545;;
Salon Ślubny La Mariee;(22)6222410;;
White Angels Suknie Ślubne;696996036;;
4U2 Consulting Sklep Internetowy www.ABCSLUBU.pl;(12)3848323wew.2;;
4U2 Consulting Sklep Internetowy www.ABCSLUBU.pl;883997678;;
A`LA FASHION Pracownia Gorseciarska;691232780;;
A&A Salon Sukien Ślubnych;512146222;;
A&A Salon Sukien Ślubnych;791599109;;
A&B Pracownia Sukien Ślubnych Komunijnych i Wizytowych;503699524;;
A&W Moda-Salon Ślubny;(25)7813045;;
AD-NET;505833496;;
Adagio;(42)6337045;;
ADEL MODA - Salon ANNA;(41)3702016;;
ADELINE Salon Sukien Ślubnych i Wizytowych;(71)3434463;;
ADORA Pracownia Sukien Ślubnych i Komunijnych;(44)6328500;;
ADORA Pracownia Sukien Ślubnych i Komunijnych;607676477;;
ADRIA;(32)6772407;;
Adria Suknie Ślubne i Komunijne;(29)7573550;;
Adria Suknie Ślubne i Komunijne;608446494;;
AFRODYTA Moda Ślubna;516002560;;
AFRODYTA Salon Ślubny;(89)5359624;;
AFRODYTA Salon Ślubny;501433141;;
AFRODYTA Suknie Ślubne;(91)3821820;;
AFRODYTA Suknie Ślubne;600960185;;
AGA Artystyczna Pracownia Dodatków Ślubnych Komunijnych i Wieczorowych;(042)6564065;;
AGA Artystyczna Pracownia Dodatków Ślubnych Komunijnych i Wieczorowych;508197977;;
AGA Salon Mody Damskiej;785140899;;
AGA Salon Mody Damskiej;(32)2818086;;
AGNES;(94)3653500;;
AGNES;(94)3657301;;
AGORA ELLE Salony Sukien Ślubnych;(22)8799981;;
AGORA ELLE Salony Sukien Ślubnych;(22)6700505;;
Aldeko;693247623;;
ALEKSANDRA Studio Mody Ślubnej;(65)5207325;;
ALEXANDRIA Komis Sukien Ślubnych;607493240;;
ALEXANDRIA Komis Sukien Ślubnych;(61)8534324;;
AMELIA;514639511;;
AN-POL;(32)2341676;;
AN-POL;602691706;;
ANABEL Salon Sukien Ślubnych;793565437;;
ANDREA Salon Sukien Ślubnych;793793992;;
Angela Salon Sukien Ślubnych i Wieczorowych;509750238;;
Angela Salon Sukien Ślubnych i Wieczorowych;509669953;;
Anika;(71)3113327;;
ANNA KARA Suknie Ślubne;(12)3070121;;
ANNE MARIAGE Salon Ślubny;510771711;;
ARS ARTE;(77)4544511-Opole;;
ARTISMODA;(12)2963159;;
ARTISMODA;798173924;;
Arttrend Collection - Salon Śukien Ślubnych i Pracownia Dekoratowska;(58)5531742;;
Artystyczna Pracownia Dodatków Ślubno-Komunijnych WIANPOLL;(42)6801326;;
Artystyczna Pracownia Dodatków Ślubno-Komunijnych WIANPOLL;505128070;;
Artystyczna Pracownia Krawiecka Gracja;660406438;;
Artystyczna Pracownia Krawiecka Małgorzaty Obajtek;(32)2908856;;
Artystyczna Pracownia Krawiecka Małgorzaty Obajtek;668623298;;
Artystyczna Pracownia Sukien Ślubnych SCGALA;504749232;;
Artystyczne Studio Sukni Ślubnych PABLO MORALES;504197470;;
Artystyczny Salon Ślubny WANDA;(34)3243941;;
Artystyczny Salon Ślubny WANDA;(34)3249858;;
Atelier Agnieszka Światły;695657785;;
ATELIER Ana Lisa;(71)3446029;;
ATELIER CLARISSA Salon Sukien Ślubnych i Okolicznościowych;784069310;;
ATELIER JULIETTE;(22)2452942;;
ATELIER JULIETTE;790287090;;
Atelier MARA;604194104;;
Atelier Mody Unique Fashion;502042133;;
Atelier Ostaszewska S.c.;501438360;;
Atelier Ostaszewska S.c.;(61)6537654;;
Atelier Rosa - Suknie Ślubne;690988002;;
Atelier Sukien Ślubnych EWA Ewa Bartnicka;(86)2718095;;
Atelier Sukien Ślubnych EWA Ewa Bartnicka;512069525;;
Atelier Ślubne GLAMOUR;607815472;;
Atelier Ślubne Projektowanie i Szycie Sukien;793692095;;
Atelier vie de château;(22)8410197;;
Atelier vie de château;794055051;;
Atelier/Butik JAROSZEWSKA;604430461;;
Atelier/Butik JAROSZEWSKA;502320545;;
AURELIA Salon Sukien Ślubnych;794285954;;
Aurelia Salon Sukien Ślubnych;(77)4607910;;
Aveart;668221564;;
BAKOSSA;603757773;;
BAMAX;(22)8351147;;
BAMAX;(22)8665325;;
BEATIS Galeria Ślubna;(58)3049718;;
BEATIS Galeria Ślubna;506668417;;
BEAUTY Suknie Ślubne;694853517;;
BELLA ROSSA Salon Sukien Ślubnych;(12)6324145;;
Bella Sposa;(12)6374213;;
Bella Sposa;608116140;;
BELLE ROBE;(71)3227610;;
Bellissima Salon Sukien Ślubnych;(71)3557001;;
Bellissima Salon Sukien Ślubnych;501029855;;
BELLISSIMA-Salon Sukien Ślubnych;(42)6301116;;
Bellize;(22)8642393;;
Bellize;605467696;;
Beluno-Moda Ślubna;694837919;;
Biała Perła - Studio Dekoracji Ślubnej;501490733;;
BIAŁE STUDIO;(42)6746967;;
BIAŁE STUDIO;508554066;;
Biały Raj Hanna Wiśniewska;(22)6199743;;
BIAŁY SKLEP;(77)4546158;;
BIANCA ROSA Salon Sukni Ślubnych;792282399;;
BONA Suknie Ślubne;507853212;;
Boutique Wiktoria Moda Ślubna i Wieczorowa;605054606;;
Butik Ślubny MARIA i MAGDALENA;(12)6330957;;
Buty Ślubne ANWI;697221467;;
CAMELLA Pracownia Dodatków Ślubnych;(17)2837544;;
CAMELLA Pracownia Dodatków Ślubnych;607931555;;
CARMEN Suknie Ślubne;(22)8316399;;
Caroline-Centrum Ślubne;602184730;;
CARPE DIEM;(32)7506882;;
CARPE DIEM;(32)7506883;;
CATHERINE;(012)4165580;;
Celebrity BRIDAL;501427423;;
Celise Suknie Ślubne;606955225;;
Celise Suknie Ślubne;692068106;;
Centrum Mody Ślubnej;(63)2428450;;
Centrum Mody Ślubnej;(91)4339038;;
Centrum Mody Ślubnej AGORA Salon Sukien Ślubnych;(71)3645972;;
Centrum Mody Ślubnej AGORA Salon Sukien Ślubnych;(71)3645040;;
Centrum Mody Ślubnej D&M;506142240;;
Centrum Mody Ślubnej D&M;605040646;;
Centrum Mody Ślubnej Ewa Śliwa;604727799;;
Centrum Mody Ślubnej i Wieczorowej AVENIR;(52)3977761;;
Centrum Mody Ślubnej i Wizytowej MALENA;(52)3768118Bydgoszcz;;
Centrum Mody Ślubnej i Wizytowej MALENA;(56)6107045Toruń;;
Centrum Mody Ślubnej STYL;668235551;;
Centrum Mody Ślubnej STYL;698641546;;
Centrum Ślubne AGDAR;(75)7210240;;
Centrum Ślubne AGDAR;666896410;;
Centrum Ślubne GALA;(24)2641713;;
Centrum Ślubne GALA;508383778;;
Centrum Ślubne KATRIN;(22)8505400;;
Centrum Ślubne White Roses;(33)4865255;;
Centrum Ślubne White Roses;699127773;;
CLAUDIA Salon Sukien Ślubnych;660799645;;
COCCINELLE Pracownia Krawiecka;500122789;;
COCO & PEDRO;(12)6171895;;
COCO & PEDRO;794974890;;
Coś Pożyczonego;784333216;;
Cymbeline - Salon Ślubny;(42)6330479;;
CZAR BIELI Salon Sukien Ślubnych;(32)3332008;;
CZAR BIELI Salon Sukien Ślubnych;509129804;;
DAJANA Salon Sukien Ślubnych, Komunijnych i Wieczorowych;(32)7519143;;
DAJANA Salon Sukien Ślubnych, Komunijnych i Wieczorowych;602514103;;
DAVOS Wypożyczalnia Sukien Ślubnych;796833490;;
Delta Suknie Ślubne;794497346;;
DEMI Salon Mody Ślubnej;(81)5329393;;
DEMI Salon Mody Ślubnej;530920990;;
DESIDERIO Salon Sukien Ślubnych;(34)3611703;;
DIADEM Salon Handlowo Usługowy;697267754;;
DIANA Pracownia Sukien Ślubnych i Wieczorowych;(89)6484039;;
DIUK S.c. B.Zielonka, G.Zielonka, M.Abramczyk;(71)3545441;;
DIUK S.c. B.Zielonka, G.Zielonka, M.Abramczyk;(71)7181710;;
Dolce Vita Atelier Mody Ślubnej;(34)3615619;;
Dom Mody Ślubnej GLAMOUR EXCLUSIVE;(33)8232056;;
Dom Mody Ślubnej GLAMOUR EXCLUSIVE;519754608;;
Dom Mody Ślubnej i Wizytowej MADLEINE;(61)8685546;;
Dom Mody Ślubnej i Wizytowej Viktoria;(62)7574225;;
Dom Mody Ślubnej i Wizytowej Viktoria;609772173;;
Dom Mody Ślubnej MADONNA;(22)6213027;;
Dom Mody Ślubnej MADONNA;(22)8211017;;
Dom z Wieżą - Salon i Wypożyczalnia Sukien Ślubnych;(12)2669310;;
Dom z Wieżą - Salon i Wypożyczalnia Sukien Ślubnych;606142982;;
DOMINIKA Salon Sukien Ślubnych;(52)3576978;;
DONNA Suknie Ślubne;694460383;;
DORA Producent Dodatków Ślubnych i Komunijnych;(81)4444852;;
DORA Producent Dodatków Ślubnych i Komunijnych;(81)4444810;;
DORIN Suknie Ślubne;508800722;;
Duber Bridal Fashion;604635831;;
Duber Bridal Fashion;664047264;;
DUET Suknie Ślubne i Wieczorowe;(12)4222091;;
E-STYL;782927467;;
ED Mariage Elżbieta Dominiak;(62)7571591;;
ED Mariage Elżbieta Dominiak;692419266;;
EDEN Szycie Sukien Ślubnych.Catering,Organizacja Przyjęć;(13)4638528;;
EDEN Szycie Sukien Ślubnych.Catering,Organizacja Przyjęć;664772661;;
ELENDAR;604911166;;
ELENDAR;604882878;;
ELIS-Salon Sukien Ślubnych;(77)4336242;;
Elite;(24)2357356;;
ELIZABETH;605925001;;
EMILII F.;602123342;;
EMILII F.;660285720;;
EMMI MARIAGE Salon Radom;(48)3631252;;
EMMI MARIAGE Salon Radom;693667788;;
EMMI MARIAGE Salon Warszawa;(22)8383227;;
EMMI MARIAGE Salon Warszawa;697023693;;
ES EUROSTYL Salony Ślubne;(18)4423761;;
ES EUROSTYL Salony Ślubne;609251999;;
Estella-Atelier Moda Ślubna;519728014;;
Estelle Salon Sukien Ślubnych;531223399;;
ESTERA NOVIAS Butik Ślubny;(42)6321963;;
EUFORIA;601264444;;
EVELINE ATELIER;501245785;;
EVELINE ATELIER;530812328;;
F.H. MUJERCITA Izabela Kęsicka;660199404;;
F.P.H. STYL Anna Skrzyszowska-Mielczarek;(56)4610752;;
F.P.H. STYL Anna Skrzyszowska-Mielczarek;(56)4657238;;
F.U. NOVIA;693984418;;
FABER;664204975;;
FASHION STUDIO;664507086;;
FASHION STUDIO;501577075;;
FENSI;(58)7422552;;
Firma Handlowa Andreas;661143094;;
Firma VERULAM;792661592;;
FLAVIE;(74)8569932;;
FLAVIE;509234683;;
FRANCIS MORGAN;696845084;;
FRANCIS MORGAN;604102626;;
GABRIELLE Artystyczna Pracownia Welonów;504138923;;
GABRIELLE Artystyczna Pracownia Welonów;(42)6362178;;
GALERIA MC KREATOR;(89)5229060;;
GALERIA Mody Ślubnej;(43)8253201;;
GALERIA Mody Ślubnej;(43)8247346;;
Galeria Mody Ślubnej KWIAT LOTOSU;(32)6012440;;
Galeria Mody Ślubnej KWIAT LOTOSU;883919191;;
Galeria Mody VICTORIA;(42)6710759;;
Galeria Sukien Ślubnych OPERA;(95)7204814;;
Galeria Sukien Ślubnych OPERA;604620815;;
GALERIA ŚLUBNA;664607143;;
Galeria Ślubna;(24)3640767;;
Galeria Ślubna BELISSIMA;535418826;;
Galeria Ślubna Deparis.pl;(81)7408930;;
Galeria Ślubna Deparis.pl;605223493;;
Galeria Ślubna VIKTORIA;(63)2429040;;
Galeria Ślubna VIKTORIA;516033877;;
Galeria Ślubu KAMEA;(42)6331435;;
Galeria Ślubu KAMEA;609030659;;
Godan Plus Salon Sukien Ślubnych i Dekoracji Aneta Rawska;(68)3240328;;
Godan Plus Salon Sukien Ślubnych i Dekoracji Aneta Rawska;603073767;;
GRACJA Salon Sukien Ślubnych;(41)2521770;;
GRACJA Studio Mody Ślubnej;(61)8534021;;
GRACYA Dom Mody Teresy Słonicz;(85)6761598;;
Happy Day Barbara Chądzel Jankowska;(071)3366090;;
Happy Day Barbara Chądzel Jankowska;(071)7809088;;
HAPPY DAYS;531617805;;
HAPPY DAYS;660747757;;
IGAR;(17)8504329;;
IGAR;(17)8504328;;
Ines Atelier Boutique;791496111;;
Ines Atelier Boutique;505077396;;
INES Salon Sukien Ślubnych;601449521;;
ISABEL Salon Ślubny;(42)6170030;;
ISABELLE;883002027;;
ISABELLE - Salon Mody Ślubnej;515950802;;
IVORY & WHITE Suknie Ślubne i Koktajlowe;609238576;;
IZABELA Salon Sukien Ślubnych i Wizytowych;600385905;;
IZABELL Pracownia Sukien Ślubnych i Strojów Okazjonalnych;(15)8432138;;
IZABELL Pracownia Sukien Ślubnych i Strojów Okazjonalnych;880350180;;
JACQUELINE;(81)5320614;;
Janette;(87)4292180;;
JANEX S.c.;(91)4230919;;
JANEX S.c.;501785564;;
JANUS Suknie Ślubne i Wieczorowe;669339368;;
JASMINE STYLE Anna Krywko;(85)7441013;;
JASMINE STYLE Anna Krywko;669330533;;
Jennifer Vaiano;(22)8702150;;
JMart Studio Sukien Ślubnych Joanna Reutt;608684710;;
Jola-Moda;(34)3133739;;
JOLANTA Salon Sukien Ślubnych;501780831;;
Julia Collection suknie ślubne i wieczorowe;513065610;;
JULIA Salon Sukien Ślubnych;791539924;;
Julia Suknie Ślubne;(62)5917939;;
JULIETTA Salon Sukien Ślubnych;883064559;;
JUSTYNA Salon Sukien Ślubnych;516186355;;
JUSTYNA Wypożyczalnia-Pracownia Sukien Ślubnych i Komunijnych;(91)4227061;;
KAJA Centrum Mody Ślubnej;(18)4442494;;
KAMBELINA Salon Mody Ślubnej;(32)6233711;;
KAMBELINA Salon Mody Ślubnej;501250333;;
KAMILA Pracownia Sukien Ślubnych;(61)4278337;;
KAMILA Pracownia Sukien Ślubnych;692953799;;
KAMILL Salon Sukien Ślubnych i Garniturów;600537081;;
KAREEN Suknie Ślubne;501986252;;
KARINA Salon Sukien Ślubnych;500185006;;
KARINA Salon Sukien Ślubnych;500060557;;
KATIA Salon Mody Ślubnej;(18)2688174;;
KATIA Salon Mody Ślubnej;604933146;;
KATRIN Suknie Ślubne i Usługi Krawieckie;665064793;;
Katris Atelier Suknie Ślubne;511842187;;
KOLEKCJA - Moda Ślubna;(68)4794181;;
KOLEKCJA - Moda Ślubna;604964752;;
Komunia.eu;(91)4848191;;
Komunia.eu;782427456;;
Koszulland;602345533;;
Kreacja ŻANNET - Suknie Ślubne;(68)3824628Świebodzin;;
Kreacja ŻANNET - Suknie Ślubne;(68)3247312ZielonaGóra;;
Kryształowe Bukiety Ślubne i Upominki;506411139;;
LA CASADA Salon Sukien Ślubnych;512178158;;
La Mari;885800818;;
LA PARIS Salon Mody Ślubnej;668689555;;
LA PERL`A;(85)6521204;;
LA PERLA SPOSA Salon Sukien Ślubnych;797710670;;
Lady Katherine Salon Sukien Ślubnych;(42)6320669;;
LAURA ROMANO;696136465;;
LAURELLE Salon Sukni Ślubnych;500000094;;
