Muzeum Narodowe w Gdańsku;(58)3016804;;
Muzeum Narodowe w Gdańsku;(58)3011125;;
Muzeum Archeologiczne w Krakowie;(12)4227100;;
Muzeum Archeologiczne w Krakowie;(12)4227560;;
Muzeum Cechu Rzemiosł Skórzanych im. Jana Kilińskiego Cech Rzemiosł Skórzanych im. Jana Kilińskiego;(22)8319673;;
Muzeum im. Wojciecha Kętrzyńskiego;(89)7523282;;
Muzeum im. Wojciecha Kętrzyńskiego;(89)7522965;;
Muzeum Józefa Piłsudskiego w Sulejówku;(22)8420425;;
Muzeum Kaszubskiej Ceramiki NECEL;(58)6842289;;
Muzeum Kaszubskiej Ceramiki NECEL;505134724;;
Muzeum w Brodnicy;(56)4950570;;
Polskie Towarzystwo Chemiczne;(22)8311304;;
.Muzeum w Jarosławiu Kamienica Orsettich;(16)6215437;;
.Muzeum w Jarosławiu Kamienica Orsettich;(16)6213731;;
Centralne Muzeum Pożarnictwa;(32)2223733;;
Centralne Muzeum Pożarnictwa;(32)3166199;;
Międzyrzecki Rejon Umocniony Muzeum Fortyfikacji i Nietoperzy;(95)7419999;;
Międzyrzecki Rejon Umocniony Muzeum Fortyfikacji i Nietoperzy;509868965;;
Muzeum 2 Korpusu Polskiego w Józefowie;(22)7895673;;
Muzeum 2 Korpusu Polskiego w Józefowie;660838440;;
Muzeum Archeologiczne i Rezerwat Krzemionki;(41)3304550;;
Muzeum Dobranocek ze zbiorów Wojciecha Jamy w Rzeszowie;(17)7483651;;
Muzeum Dobranocek ze zbiorów Wojciecha Jamy w Rzeszowie;(17)8525715;;
Muzeum Dwory Karwacjanów i Gładyszów;(18)3535618;;
Muzeum Dwory Karwacjanów i Gładyszów;(18)3535601;;
Muzeum im. Jerzego Dunin-Borkowskiego;(24)2523347;;
Muzeum im. Jerzego Dunin-Borkowskiego;(24)2524496;;
Muzeum JAMA MICHALIKA Kawiarnia Restauracja;(12)4221561;;
Muzeum Kultury Ludowej Pomorza w Swołowie;(59)8324897;;
Muzeum Kultury Ludowej Pomorza w Swołowie;(59)8119410;;
Muzeum Ludowych Instrumentów Muzycznych w Szydłowcu;(48)6171789;;
Muzeum Lwowa i Kresów;602603588;;
Muzeum Łowiectwa i Jeździectwa w Warszawie;(22)5226630;;
Muzeum Łowiectwa i Jeździectwa w Warszawie;(22)6284699;;
Muzeum Narodowe w Warszawie;(22)6211031;;
Muzeum Narodowe w Warszawie;(22)6228559;;
Muzeum Nietypowych Rowerów;601814527;;
Muzeum Piernika;(56)6636617;;
Muzeum Regionalne w Pleszewie;(62)7428359;;
Muzeum Regionalne w Wiślicy;502634495;;
Muzeum Regionalne w Wiślicy;(41)3792164;;
Muzeum Rzemiosła w Krośnie;(13)4324188;;
Muzeum Sztuki i Techniki Japońskiej Manggha;(12)2672703;;
Muzeum Sztuki i Techniki Japońskiej Manggha;(12)2674079;;
Muzeum Twierdzy Kostrzyn;(95)7522360;;
Muzeum Twierdzy Kostrzyn;(95)7520045;;
Muzeum Volkswagena;(58)6818205;;
Muzeum Volkswagena;604704050;;
Muzeum Wojska w Białymstoku;(85)7416449;;
Muzeum Wojska w Białymstoku;(85)7415448;;
Muzeum Wsi Lubelskiej;(81)5338513;;
Muzeum Wsi Lubelskiej;(81)5333137;;
Muzeum Wsi Radomskiej;(48)3329281;;
Muzeum Wsi Radomskiej;(48)3329282;;
Muzeum Zabawek w Kudowie Zdroju;(74)8664970;;
Muzeum Zabawek w Kudowie Zdroju;601948423;;
P.H.U. Covpol Sp.j.;(22)7569104;;
P.H.U. Covpol Sp.j.;(22)7371775-76;;
Fundacja Zamek Chudów;(32)3301300;;
Fundacja Zamek Chudów;(32)3301301;;
Kopalnia Złota ZŁOTY STOK;(74)8175508(rezerwacja);;
Kopalnia Złota ZŁOTY STOK;(74)8175574(biuro);;
Ośrodek Kultury Leśnej w Gołuchowie;(62)7615046;;
Ośrodek Kultury Leśnej w Gołuchowie;(62)7615045;;
Trasa Turystyczna Bunkier w Konewce;501430321;;
(Mini) Muzeum Żaby;(46)8578260;;
Auto-Muzeum Jan & Maciej Peda;693055363;;
Białostockie Muzeum Wsi;509336816;;
Białostockie Muzeum Wsi;(85)7436082;;
Centralne Muzeum Jeńców Wojennych w Łambinowicach-Opolu;(77)4537872;;
Centralne Muzeum Jeńców Wojennych w Łambinowicach-Opolu;(77)4539216;;
Centralne Muzeum Jeńców Wojennych w Łambinowicach-Opolu;(77)4343475;;
Centralne Muzeum Włókiennictwa;(042)6832684;;
Centralne Muzeum Włókiennictwa;(042)6832685;;
Centrum Edukacji Archeologicznej BŁĘKITNY LEW Spichlerz BŁĘKITNY BARANEK;(58)3203188;;
Centrum Górskie KORONA ZIEMI Sp. z o.o.;(33)8775618;;
Centrum Górskie KORONA ZIEMI Sp. z o.o.;690996631;;
Centrum Hewelianum;(58)3000842;;
Centrum Hewelianum;(58)7421513;;
Centrum Nauki i Sztuki STARA KOPALNIA;(74)6670980;;
Centrum Nauki i Sztuki STARA KOPALNIA;(74)6670970;;
CHATA U KAWULOKA;790262829;;
CHATA U KAWULOKA;(33)8556231;;
Dom Carla i Gerharta Hauptmannów-Muzeum Karkonoskie;(75)7172611;;
Dom Muzealny ORNAK;(18)2015679;;
Dom Muzealny ORNAK;604985025;;
DOM NAD ŁĄKAMI Muzeum Wacława i Zofii Nałkowskich;(22)7862219;;
DWÓR WYBICKICH;(58)3024285;;
DWÓR WYBICKICH;506233553;;
Ekomuzeum Rzemiosła w Dobkowie;(75)7134453;;
Ekomuzeum Rzemiosła w Dobkowie;506112985;;
FORT GERHARDA;530790596;;
FORT GERHARDA;(91)3218626;;
Forteczny Park Kulturowy Sp. z o.o.;(74)8180099;;
Forteczny Park Kulturowy Sp. z o.o.;509591311;;
Gabinet Figur Woskowych;(91)3282570;;
Galeria Bursztynowa Narcyz Kalski;(59)8427333;;
Galeria Marii Ritter i Stare Wnętrza Mieszczańskie w Nowym Sączu;(18)4442370;;
Galeria Marii Ritter i Stare Wnętrza Mieszczańskie w Nowym Sączu;(18)4437708;;
GALERIA-MUZEUM Krzysztof Poloński;(14)6567868;;
GALERIA-MUZEUM Krzysztof Poloński;(14)6424433;;
Gdyńskie Muzeum Motoryzacji;(58)6638740;;
Harcerskie Muzeum Etnograficzne;501804094;;
Harcerskie Muzeum Etnograficzne;(32)2511729;;
JURAPARK;(52)3873235;;
Karkonoskie Tajemnice;(75)7619999;;
Karkonoskie Tajemnice;880005003;;
KONSPIRA Centrum Edukacji Historycznej;796326600;;
LATARNIA MORSKA Gdańsk Nowy Port;(58)7601642;;
LATARNIA MORSKA Gdańsk Nowy Port;601150251;;
Lubuskie Muzeum Wojskowe w Zielonej Górze z/s w Drzonowie;(68)3211856;;
Lubuskie Muzeum Wojskowe w Zielonej Górze z/s w Drzonowie;(68)3211829;;
Mazowieckie Centrum Sztuki Współczesnej ELEKTROWNIA w Radomiu;(48)3836077;;
Mazowieckie Centrum Sztuki Współczesnej ELEKTROWNIA w Radomiu;(48)3858995;;
MIEJSKIE MUZEUM ZABAWEK;(75)7618523;;
MŁYN Muzeum Młynarstwa i Wsi;(13)4611312;;
MŁYN Muzeum Młynarstwa i Wsi;607477110;;
MOCAK Muzeum Sztuki Współczesnej w Krakowie;(12)2634001;;
MOCAK Muzeum Sztuki Współczesnej w Krakowie;(12)2571034;;
Multimedialne Muzeum na 15 Południku im. Władysława Jagiełły Trzęsacz;(91)3862926;;
Multimedialne Muzeum na 15 Południku im. Władysława Jagiełły Trzęsacz;604141783;;
Muzem PRL-u;(12)4467821;;
Muzem PRL-u;(12)4467822;;
Muzeum - Miejsce Pamięci Palmiry;(22)7208114;;
Muzeum - Miejsce Pamięci Palmiry;(22)7208093;;
Muzeum - Orawski Park Etnograficzny w Zubrzycy Górnej;(18)2852709;;
Muzeum - Orawski Park Etnograficzny w Zubrzycy Górnej;(18)2852487;;
Muzeum - Zespół Synagogalny we Włodawie;(82)5722178;;
MUZEUM 4PSP;604833667;;
Muzeum 6D - Maszoperia;(94)7162244;;
Muzeum Archeologiczne i Etnograficzne w Łodzi;(42)6328440;;
Muzeum Archeologiczne i Etnograficzne w Łodzi;(42)6329714;;
Muzeum Archeologiczne Środkowego Nadodrza;(68)3215478;;
Muzeum Archeologiczne Środkowego Nadodrza;(68)3273113;;
Muzeum Archeologiczne w Gdańsku;(58)3222100;;
Muzeum Archeologiczne w Gdańsku;(58)3222111;;
Muzeum Archeologiczne w Poznaniu;(61)852825;;
Muzeum Archeologiczne w Poznaniu;(61)8531010;;
Muzeum Archeologiczno-Historyczne w Elblągu;(55)2327273;;
Muzeum Archeologiczno-Historyczne w Elblągu;(55)2324317;;
Muzeum Archeologiczno-Historyczne w Stargardzie;(91)5772556;;
Muzeum Archeologiczno-Historyczne w Stargardzie;(91)5783835;;
Muzeum Architektury we Wrocławiu;(71)3448279;;
Muzeum Architektury we Wrocławiu;(71)3446577;;
Muzeum Armii Krajowej im. Generała Emila Fieldorfa Nila;(12)4100770;;
Muzeum Armii Krajowej im. Generała Emila Fieldorfa Nila;(12)4100760;;
Muzeum ASP we Wrocławiu;(71)3438451;;
Muzeum Augusta Zamoyskiego;(83)3560068;;
Muzeum Augusta Zamoyskiego;508323005;;
Muzeum Bambrów Poznańskich;605621611;;
Muzeum Bambrów Poznańskich;602658961;;
Muzeum Bitwy pod Grunwaldem;(89)6472215;;
Muzeum Bitwy pod Grunwaldem;(89)6472227-28;;
Muzeum BOCIANA BIAŁEGO;(68)3912935;;
Muzeum Browaru Żywiec;(33)8612457;;
Muzeum Browaru Żywiec;(33)8619627;;
Muzeum Budownictwa Ludowego;(13)4630904;;
Muzeum Budownictwa Ludowego;(13)4630934Dyrekcja;;
Muzeum Budownictwa Ludowego - Park Etnograficzny w Olsztynku;(89)5192164;;
Muzeum Budownictwa Ludowego - Park Etnograficzny w Olsztynku;(89)5193845;;
Muzeum Bursztynu BURSZTYNOWA KOMNATA;(55)2474209;;
Muzeum Bursztynu BURSZTYNOWA KOMNATA;(55)2478579;;
Muzeum Ceramiki w Bolesławcu;(75)6444700;;
Muzeum Ceramiki w Bolesławcu;(75)6441085;;
Muzeum CZĘSTOCHOWSKIE;(34)3605631w.10;;
Muzeum CZĘSTOCHOWSKIE;(34)3605631w.0;;
Muzeum Dawnego Kupiectwa;(74)8521291;;
Muzeum Dawnego Kupiectwa;(74)8521291;;
Muzeum Dawnych Tortur w Zielonej Górze;(68)3272345;;
Muzeum Dawnych Tortur w Zielonej Górze;(68)3246561;;
Muzeum Diecezjalne w Kielcach;(41)3445820;;
Muzeum Drukarstwa Warszawskiego;(22)6206042;;
Muzeum DULAG 121;(22)7588663;;
Muzeum DULAG 121;696591295;;
Muzeum Dwór w Dołędze;(14)6715414;;
Muzeum Dyplomacji i Uchodźstwa Polskiego;(52)3462318;;
Muzeum Dzwonów i Fajek;(16)6789666;;
Muzeum Emigracji w Gdyni;(58)6233179;;
Muzeum Etnograficzne;(17)8620217;;
Muzeum Etnograficzne;(14)6220625;;
Muzeum Etnograficzne im. Marii Znamierowskiej-Prüfferowej w Toruniu;(56)6228091;;
Muzeum Etnograficzne im. Marii Znamierowskiej-Prüfferowej w Toruniu;(56)6223649;;
Muzeum Etnograficzne im. Seweryna Udzieli w Krakowie;(12)4306023;;
Muzeum Etnograficzne im. Seweryna Udzieli w Krakowie;(12)4306330;;
Muzeum Etnograficzne Oddział Muzeum Narodowego we Wrocławiu;(71)3443313;;
Muzeum Etnograficzne Oddział Muzeum Narodowego we Wrocławiu;(71)3442849;;
Muzeum Etnograficzne w Zielonej Górze z siedzibą w Ochli;(68)3211473;;
Muzeum Etnograficzne w Zielonej Górze z siedzibą w Ochli;(68)3211193;;
Muzeum Ewolucji Instytutu Paleobiologii PAN;(22)6566637;;
Muzeum Ewolucji Instytutu Paleobiologii PAN;(22)6206225;;
Muzeum Fabryki;(042)6649293;;
Muzeum Farmacji im. mgr Antoniny Leśniewskiej;(22)8317179;;
Muzeum Figur Woskowych;(71)3963785;;
Muzeum Figur Woskowych;533866533;;
Muzeum Filumenistyczne;(74)8110637;;
Muzeum Fortyfikacji Pancernej Twierdzy Toruń;607054249;;
Muzeum Fotografii;(052)5670007;;
Muzeum Fryderyka Chopina w Warszawie;(22)4416251-52;;
Muzeum Fryderyka Chopina w Warszawie;(22)4416274;;
Muzeum Gazownictwa w Paczkowie;(77)4316834;;
Muzeum Geodezji i Kartografii w Opatowie;(15)8684777;;
Muzeum Geodezji i Kartografii w Opatowie;(15)8684742;;
Muzeum Górnictwa Węglowego;(32)2718831;;
Muzeum Górnictwa Węglowego;(32)2716591;;
Muzeum Górnośląski Park Etnograficzny  w Chorzowie;(32)2415501;;
Muzeum Górnośląski Park Etnograficzny  w Chorzowie;(32)4502704-06;;
Muzeum Górnośląskie;(32)2818294w.111;;
Muzeum Grodu Santockiego w Santoku, Muzeum Lubuskie im. Jana Dekerta w Gorzowie Wlkp.;(95)7316108;;
Muzeum Grodu Santockiego w Santoku, Muzeum Lubuskie im. Jana Dekerta w Gorzowie Wlkp.;(95)7322843;;
Muzeum Gross-Rosen;(74)8559007;;
Muzeum Gród Średniowieczny w Brzeźniku;601302391;;
Muzeum Harcerskie Olgi i Andrzeja Małkowskich;(18)2014530;;
Muzeum Henryka Sienkiewicza;(25)7559000;;
Muzeum Historii Fotografii im.Walerego Rzewuskiego w Krakowie;(12)6345932;;
Muzeum Historii Fotografii im.Walerego Rzewuskiego w Krakowie;(12)6340455w.27;;
Muzeum Historii Katowic;(32)2561810;;
Muzeum Historii Katowic;(32)2562134;;
Muzeum Historii Kielc;(41)3405520;;
Muzeum Historii Kielc;(41)3405525;;
Muzeum Historii Komputerów i Informatyki;(32)4130890;;
Muzeum Historii Miasta Łodzi;(42)6540323;;
Muzeum Historii Miasta Łodzi;(42)2549000;;
Muzeum Historii Miasta Rzeszowa;(17)8754198;;
Muzeum Historii Miasta Zduńska Wola;(43)8249880;;
Muzeum Historii Miasta Zduńska Wola;(43)8234843;;
Muzeum Historii Polski w Warszawie;(022)2119002;;
Muzeum Historii Polski w Warszawie;(022)2119033;;
Muzeum Historii Polskiego Ruchu Ludowego;(22)8433876;;
Muzeum Historii Polskiego Ruchu Ludowego;(22)8437873;;
Muzeum Historii Przemysłu;(62)7618626;;
Muzeum Historii Przemysłu;(62)7618078;;
Muzeum Historii Ziemi Kamieńskiej;(91)3822373;;
Muzeum Historii Ziemi Kamieńskiej;601585323;;
Muzeum Historii Żydów Polskich POLIN;(22)4710300;;
Muzeum Historii Żydów Polskich POLIN;(22)8322043;;
Muzeum Historyczne;(85)7482119;;
Muzeum Historyczne;509336878;;
Muzeum Historyczne - Pałac w Dukli;(13)4330085;;
Muzeum Historyczne - Pałac w Dukli;(13)4330236;;
Muzeum Historyczne m. Tarnobrzega;(15)8237999;;
Muzeum Historyczne m. Tarnobrzega;(15)8237999w.26;;
Muzeum Historyczne Miasta Gdańska;(58)7679100;;
Muzeum Historyczne Miasta Gdańska;(58)7679166;;
Muzeum Historyczne miasta stołecznego Warszawy;(22)6351625;;
Muzeum Historyczne miasta stołecznego Warszawy;(22)8319491;;
Muzeum Historyczne w Legionowie;(22)7742166;;
Muzeum Historyczne w Legionowie;(22)7744489;;
Muzeum Historyczne w Przasnyszu;(29)7522866;;
Muzeum Historyczne w Sanoku;(013)4630609;;
Muzeum Historyczno-Archeologiczne w Ostrowcu Świętokrzyskim;(41)2653651;;
Muzeum Historyczno-Etnograficzne w Andrychowie;(33)8752488;;
Muzeum Historyczno-Etnograficzne w Andrychowie;(33)8754101;;
Muzeum Historyczno-Etnograficzne w Chojnicach;(52)3974392;;
Muzeum Historyczno-Etnograficzne w Chojnicach;(52)3972319;;
Muzeum i Instytut Zoologii PAN;(22)6293221;;
Muzeum i Instytut Zoologii PAN;(22)6296302;;
Muzeum II Wojny Światowej;(58)3237520;;
Muzeum II Wojny Światowej;(58)3237530;;
Muzeum Ikon w Supraślu;(85)7183506;;
Muzeum Ikon w Supraślu;509336829;;
Muzeum im. Aleksandra Kłosińskiego w Kętach;(33)8453107;;
Muzeum im. Anny i Jarosława Iwaszkiewiczów w Stawisku;(22)7589363;;
Muzeum im. Anny i Jarosława Iwaszkiewiczów w Stawisku;(22)7291421;;
Muzeum im. Jacka Malczewskiego w Radomiu;(48)3624329;;
Muzeum im. Jacka Malczewskiego w Radomiu;(48)3623481;;
Muzeum im. Jana Dzierżona w Kluczborku;(77)4182707;;
MUZEUM im. Jana Kasprowicza;(52)3575873;;
MUZEUM im. Jana Kasprowicza;(52)3576781;;
Muzeum im. ks. Stanisława Staszica;(84)6962783;;
Muzeum im. ks. Stanisława Staszica;(84)6963957;;
Muzeum im. ks.dr. Władysława Łęgi w Grudziądzu;(56)4659063-65;;
Muzeum im. ks.dr. Władysława Łęgi w Grudziądzu;(56)4656966;;
Muzeum im. Michała Drzymały w Miasteczku Krajeńskim;793939493;;
Muzeum im. Orła Białego;(41)2520231;;
Muzeum im. Orła Białego;(41)2621587;;
Muzeum im. Przypkowskich w Jędrzejowie;(41)3862445;;
Muzeum im. Władysława Orkana;(18)2676289;;
Muzeum im. Władysława Orkana;(18)2676365;;
Muzeum Imienia Kazimierza Pułaskiego w Warce;(48)6672267w.26;;
Muzeum Inżynierii Miejskiej w Krakowie;(12)4211242;;
Muzeum Józefa Ignacego Kraszewskiego w Romanowie;(83)3793014;;
Muzeum Kamieni w Kamieniu Pomorskim;607970880;;
Muzeum Kamieni w Kamieniu Pomorskim;603584970;;
Muzeum Karkonoskie w Jeleniej Górze;(75)7523465;;
Muzeum Karkonoskie w Jeleniej Górze;(75)6455073;;
Muzeum Karykatury im. Eryka Lipińskiego;(22)8278895;;
Muzeum Karykatury im. Eryka Lipińskiego;(22)8265110;;
Muzeum Kaszubskie im. Franciszka Tredera;(58)6811442;;
Muzeum Kaszubskie im. Franciszka Tredera;(58)6810378;;
Muzeum Kinematografii;(42)6740957;;
Muzeum Kinematografii;(42)6749006;;
Muzeum Kolejnictwa w Warszawie;(22)6200480;;
Muzeum Kolekcji im. Jana Pawła II;(22)6202725;;
Muzeum Komunikacji Miejskiej MPK-Łódź;(42)6721207;;
Muzeum Komunikacji Miejskiej MPK-Łódź;(42)6721319;;
Muzeum Komunikacji w Paterku;603501582;;
Muzeum Konstantego Ildefonsa Gałczyńskiego;(87)4256248;;
Muzeum Kowalstwa w Prószkowie;(77)4648062;;
Muzeum Kowalstwa w Prószkowie;(77)4013700;;
Muzeum Kowalstwa w Warszawie;602118616;;
Muzeum Kowalstwa w Warszawie;606182404;;
Muzeum Kresów w Lubaczowie;(16)6321802;;
Muzeum Książki Artystycznej;(42)6744298;;
Muzeum Książki Artystycznej;502626466;;
Muzeum Kultury Kurpiowskiej;(29)7645443;;
Muzeum Kultury Kurpiowskiej;(29)7643500;;
Muzeum Kultury Ludowej;(87)4275278;;
Muzeum Kultury Ludowej;(87)4273242;;
Muzeum Lachów Sądeckich im. Z. i St. Chrząstowskich w Podegrodziu;(18)4459033;;
Muzeum Lalek;(14)6721321;;
Muzeum Literatury im. Adama Mickiewicza;(22)8314061;;
Muzeum Literatury im. Adama Mickiewicza;(22)8317692;;
Muzeum Lotnictwa Polskiego;(12)6428700-01;;
Muzeum Lotnictwa Polskiego;(12)6424070-71;;
Muzeum Lubelskie w Lublinie;(81)5325001-03;;
Muzeum Lubelskie w Lublinie;(81)5321743;;
Muzeum Lubuskie im. Jana Dekerta w Gorzowie Wlkp. Zespół Willowo-Ogrodowy;(95)7323814;;
Muzeum Lubuskie im. Jana Dekerta w Gorzowie Wlkp. Zespół Willowo-Ogrodowy;(95)7322843;;
Muzeum Ludowe Rodziny Brzozowskich w Sromowie;(46)8384472;;
Muzeum Łazienki Królewskie w Warszawie;(22)5060024;;
Muzeum Łazienki Królewskie w Warszawie;(22)5060174;;
Muzeum Łużyckie w Zgorzelcu;(75)6482424;;
Muzeum Martyrologiczne w Żabikowie;(61)8130681;;
Muzeum Marynarki Wojennej;(58)6201381;;
Muzeum Marynarki Wojennej;(58)6201385;;
Muzeum Mazowieckie w Płocku;(24)3647071;;
Muzeum Mazowieckie w Płocku;(24)2624493;;
Muzeum Mazowsza Zachodniego w Żyrardowie;(46)8548180;;
Muzeum Mazowsza Zachodniego w Żyrardowie;(46)8553313;;
Muzeum Mazurskie w Szczytnie;(89)6242437;;
Muzeum Mazurskie w Szczytnie;(89)6248925;;
Muzeum Miasta Gdyni;(58)6620910;;
Muzeum Miasta Gdyni;(58)7111245;;
Muzeum Miasta Jaworzna;(32)6181950-55;;
Muzeum Miasta Jaworzna;(32)6181954;;
Muzeum Miasta Mysłowice;(32)2223733w.51;;
Muzeum Miasta Ostrowa Wielkopolskiego;(62)5928052;;
Muzeum Miasta Ostrowa Wielkopolskiego;(62)5928062;;
Muzeum Miasta Zgierza;(42)7163792;;
Muzeum Miasta Zgierza;(42)7190509;;
Muzeum Michała Kajki w Ogródku;(87)4237426;;
Muzeum Michała Kajki w Ogródku;530540930;;
Muzeum Miedzi w Legnicy;(76)8624949;;
Muzeum Miedzi w Legnicy;(76)8620289;;
Muzeum Miejsce Pamięci w Bełżcu;(84)6652510;;
Muzeum Miejsce Pamięci w Bełżcu;(84)6652511;;
Muzeum Miejskie Dom Gerharta Hauptmanna;(75)7553286;;
Muzeum Miejskie Dom Gerharta Hauptmanna;(75)7556395;;
Muzeum Miejskie im. Maksymiliana Chroboka w Rudzie Śląskiej;(32)2484457;;
Muzeum Miejskie Suchej Beskidzkiej;(33)8742605;;
Muzeum Miejskie Sztygarka;(32)2623695;;
Muzeum Miejskie Sztygarka;(32)2614250;;
Muzeum Miejskie w Nowej Soli;(68)3873640;;
Muzeum Miejskie w Siemianowicach Śląskich;(32)2285080;;
Muzeum Miejskie w Siemianowicach Śląskich;(32)7668301;;
Muzeum Miejskie w Tychach;(32)3271820-22;;
Muzeum Miejskie w Zabrzu;(32)7770501;;
Muzeum Miejskie w Żorach;(32)4343714;;
Muzeum Miejskie w Żorach;(32)4757480;;
Muzeum Miejskie w Żywcu STARY ZAMEK;(33)8612124;;
Muzeum Miejskie Wrocławia;(71)3471690;;
Muzeum Miejskie Wrocławia;(71)3444785;;
Muzeum Mikołaja Kopernika;(55)2440071;;
Muzeum Mikołaja Kopernika;(55)2440072;;
Muzeum Mineralogiczne w Szkalarskiej Porębie;607100880;;
Muzeum Mineralogiczne w Szkalarskiej Porębie;603584970;;
Muzeum Minerałów i Skamieniałości TAJEMNICE KLEJNOTÓW;(41)3112116;;
Muzeum Minerałów i Skamieniałości TAJEMNICE KLEJNOTÓW;501282691;;
Muzeum Młynarstwa i Rolnictwa w Osiecznej;(65)5266250;;
Muzeum Młynarstwa i Rolnictwa w Osiecznej;601567032;;
Muzeum Monet i Medali Jana Pawła II;(34)3651982;;
Muzeum Motoryzacji i Techniki;(22)7585067;;
Muzeum Motoryzacji i Techniki;502257021;;
Muzeum Motyli Arthropoda;502494622;;
Muzeum Nadwiślańskie;(81)8810288;;
Muzeum Nadwiślańskie;(81)8810277;;
Muzeum Narodowe;(41)3446764;;
Muzeum Narodowe;(41)3442559;;
Muzeum Narodowe Rolnictwa i Przemysłu Rolno-Spożywczego w Szreniawie;(61)8107629;;
Muzeum Narodowe Rolnictwa i Przemysłu Rolno-Spożywczego w Szreniawie;(61)8107642;;
Muzeum Narodowe w Krakowie;(12)2955500;;
Muzeum Narodowe w Krakowie;(12)2955555;;
Muzeum Narodowe w Poznaniu Pałac w Rogalinie;(61)8138030;;
