ENERGO Sławomir Hartwich;(61)4154315;;
ENERGO Sławomir Hartwich;602252680;;
FURCZYK S.c. Producent Zniczy i Knotów;603709224;;
FURCZYK S.c. Producent Zniczy i Knotów;603942178;;
P.P.H.U. MATTRA Polska;696703597;;
P.P.H.U. RAL www.ral.naklo.pl;(52)3853219;;
Producent Zniczy i Wkładów K.JACOLIK;607424224;;
ABART P.P.H.U. Jacek Gałecki;(22)7815577;;
ABART P.P.H.U. Jacek Gałecki;602668319;;
ADPAL Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe;(62)7210058;;
ADPAL Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe;(62)7216591;;
P.P.H.U. RADE M. Kujundzić;(75)7389685;;
P.P.H.U. VIOLMAR;606364669;;
P.P.H.U. VIOLMAR;787121112;;
P.P.H.U. WAXPOL Przemysław Wawrzyniak;(62)7387040;;
P.P.H.U. WAXPOL Przemysław Wawrzyniak;(62)7387042;;
ALMIK;(17)2252747;;
ALMIK;603120998;;
ARTAL Wacław Iwankowicz;(76)8711355;;
ARTAL Wacław Iwankowicz;603262090;;
Euro-Kerze Sp. z o.o.;(44)6493586;;
Euro-Kerze Sp. z o.o.;(44)6452431;;
F.H.U.P. KRAK-ZNICZ Sp.j. Andrzej Majer, Józef Wolak;(12)6375800;;
F.H.U.P. KRAK-ZNICZ Sp.j. Andrzej Majer, Józef Wolak;(12)6616710;;
HALSŁAW-PLUS Sławomira i Grzegorz Wydra;(52)3572512;;
HALSŁAW-PLUS Sławomira i Grzegorz Wydra;601658791;;
JERZY ZARYCHTA Produkcja i Sprzedaż Zniczy;691121818;;
KNOT Marek Burnat;(14)6799147Knoty;;
KNOT Marek Burnat;501184882;;
MARO;(68)3204290;;
MARO;691949370;;
MRG PLAST S.c. Akcesoria do Zniczy;(52)3586608;;
MRG PLAST S.c. Akcesoria do Zniczy;(52)3889966;;
P.P.H. MAREKO Wyrób Świec i Zniczy;(42)7169183;;
P.P.H. MAREKO Wyrób Świec i Zniczy;506193773;;
Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe LUNA Sp. z o.o.;(18)3536244;;
PW PHU IVO-CAR Eksport-Import;(52)3558536;;
PW PHU IVO-CAR Eksport-Import;605785547;;
Soskol;505102178;;
Soskol;507348692;;
Wytwórnia Zniczy i Świec Ozdobnych Stawicka Jolanta;(43)6781598;;
Z.P.H. Róża;601515012;;
ZAKŁAD WYROBU ŚWIEC I ZNICZY S. Olesiuk;(85)6823025;;
ZPH Zorza - Tadeusz Głowacki;(77)4333106;;
ZPH Zorza - Tadeusz Głowacki;(77)4333565;;
Huta Szkła BEATA;(65)5474446;;
Huta Szkła BEATA;(65)5467706;;
ALOPAK Sp. z o.o.;(62)7303448;;
ALOPAK Sp. z o.o.;531697077;;
Firma Handlowo-Produkcyjna OLCZYK;(32)2649934;;
Firma Handlowo-Produkcyjna OLCZYK;(32)2649935;;
HELMET Sp.j. S.Nackowski, W.Nackowska;(52)3519810;;
HELMET Sp.j. S.Nackowski, W.Nackowska;(52)3519816;;
AN DECOR Studio Wystroju Wnętrz;(24)3671010;;
AN DECOR Studio Wystroju Wnętrz;502185456;;
Firma CZAS Paweł Kapol;(32)2426531;;
KAJO Hurtownia Artykułów Biurowych, Szkolnych i Zabawek;(87)6215686;;
KAJO Hurtownia Artykułów Biurowych, Szkolnych i Zabawek;(87)6215688;;
Kwiaciarnia POD MUFLONAMI - PHU Marzena II Henryk Borek-Prek;880018814;;
NIKOLS-KATOWICE;(32)2099605;;
NIKOLS-KATOWICE;(32)7102088;;
Obiektywne Studio VisualView Wiesław Serek;603919415;;
Obiektywne Studio VisualView Wiesław Serek;502560505;;
P.H. JUREX;(91)4832115;;
P.H. JUREX;(91)4833661;;
P.H. PAKFOL;(18)2063951;;
P.H. PAKFOL;(18)2064370;;
Z.P.H. PAPIER Tomasz Krakowian;664435078;;
Zakład Pogrzebowy LETAX S.c.;884350350;;
Zakład Pogrzebowy LETAX S.c.;(16)6212148;;
GoodMood;512021797;;
Świece Zapachowe Pom Pom Candles;502234546;;
YANKEE ZONE Łukasz Wołyniec;508361249;;
ABIGAL PPUH;(22)7990413;;
ABIGAL PPUH;(22)7631239;;
Ad-Nat;509792555;;
ADA Znicze i Lampiony Piotr Lembas;(12)2880337;;
ADA Znicze i Lampiony Piotr Lembas;502449704;;
ADMIT Sp.j.;(33)8519000;;
ADMIT Sp.j.;(33)8519001;;
Agencja Wspierania Przedsiębiorczości NEX - Znicze i Świece;(52)3731325;;
AGMO;(41)3428641;;
AHAWA - Sklep Internetowy YANKEE STORE;662806666;;
ANTA Sp. z o.o.;(62)7210069;;
ART WAX Szczecińska Manufaktura Świec;(91)4523662;;
ART WAX Szczecińska Manufaktura Świec;509564725;;
ART-POL Sp.j.;(91)5788630-32;;
ARTMAN Candles;(91)4829388;;
ARTMAN Candles;533877611;;
ARTUFEX Sp. z o.o.;603494269;;
ATA Roman Wawrentowicz;(87)7371980-81;;
ATA Roman Wawrentowicz;510042205;;
B&B PARTNERS;(71)7258856;;
B&B PARTNERS;600818857;;
Bagis Jerzy Jarosz;506579378;;
Baja-Orginalne Świece Wodne;(32)2735973;;
Baja-Orginalne Świece Wodne;694230140;;
BARTEK CANDLES;(71)3139191;;
BARTEX Bartosz Hejwosz;(65)5341165;;
BARTEX Bartosz Hejwosz;502161559;;
BISPOL Sp. z o.o.;(17)2250760;;
BISPOL Sp. z o.o.;(17)2250755;;
BlizPol;(46)8374872;;
BlizPol;501788225;;
Bolsius;664198778;;
BOTERO Sylwester Bodnar;531727844;;
Bratborski Hurtownia Świec;(61)8638303;;
Bratborski Hurtownia Świec;(61)8638271;;
Budzich-Znicze;(23)6570410;;
Budzich-Znicze;504149964;;
CANDELA Sp. z o.o.;(42)2271077;;
CANDELA Sp. z o.o.;(42)2131109;;
CANDELA Zakład Pracy Chronionej;(34)3661518;;
CANDELA Zakład Pracy Chronionej;(34)3661649;;
CANDLE ROOM;(22)7028608;;
CANDLE-WICK Stanisław Plewa;603352510;;
CANDLE-WICK Stanisław Plewa;(018)5412125;;
CANDLETREND;694969613;;
CANDLETREND;607464085;;
Chemix Sp.j. P.P.H.U;(67)2628560;;
Chemix Sp.j. P.P.H.U;(67)2628561;;
DAKADO Dariusz Dobrzelecki;798020505;;
DEKAR Dariusz Kaczan;502236561;;
Domowy Duszek Sławomir Wieczorek;605630946;;
Domowy Duszek Sławomir Wieczorek;609741032;;
DROBO;(77)4155553;;
DROBO;604190304;;
DUBIK Producent Świec;(12)2630015;;
DUBIK Producent Świec;668110063;;
DYMEK Damian Śmigielski;600805515;;
E-SWIECZKA.PL;503875550;;
EJMAR Producent Zniczy;(61)4411161;;
EJMAR Producent Zniczy;500296740;;
ELEKTROKOP Kapturki i Podstawki do Zniczy;(52)3512990;;
ELEKTROKOP Kapturki i Podstawki do Zniczy;(52)3519142;;
EMDEPOINT CANDLES;500139356;;
EURO ZNICZ;604978342;;
EURO ZNICZ;(22)7204011;;
EURO-LIGHT Sp. z o.o.;(56)6489806;;
EURO-LIGHT Sp. z o.o.;(56)6489860;;
EW!K Ewa Stachowiak;609092233;;
F.H. Baterpol;(94)3407432;;
F.H. Baterpol;502319071;;
F.H. FENIKS;603324578;;
F.H.U. ASTRID;601632533;;
F.H.U. OZYRYS Krzysztof Oczkowski;(32)3802116;;
F.H.U. OZYRYS Krzysztof Oczkowski;507170149;;
F.H.U.P VIOLA;(15)8235690;;
F.P.H. Płomyk;(61)2852594;;
F.P.H. Płomyk;604635602;;
F.P.H. RED;(56)6787199;;
F.P.H. RED;(56)6787530;;
F.P.H. ZNICZ;(42)2132861;;
F.P.H. ZNICZ;501531430;;
F.P.H.JODŁA Producent Zniczy i Wkładów;600672727;;
F.P.H.U. DOXA;(13)4302185;;
F.P.H.U. DOXA;(13)4641954;;
F.P.U.H. ZNICZ-KAM;507333303;;
FABRYKA BARW;604909791;;
Fabryka Parafin NAFTOWAX Sp. z o.o.;(32)6180352;;
Fabryka Parafin NAFTOWAX Sp. z o.o.;(32)6122714;;
Fabryka Świec ZAWA S.c.;(032)6771706;;
FHU TOMASZEK;(34)3721177;;
FHU TOMASZEK;(34)3724411;;
Firma DAROCHA;(056)6631005;;
Firma DAROCHA;(056)6783081;;
Firma E.H.O. Henryk Owczarz;606810366;;
Firma Gibowski Sp. z o.o.;(61)4363097;;
Firma Gibowski Sp. z o.o.;(61)4379924;;
Firma Handlowo-Usługowa Jędruś Błądek Andrzej;603984245;;
Firma Lamp-Art;(22)7833034;;
Firma Lamp-Art;510187697;;
Firma Produkcyjno-Handlowa LUKS;(81)8651025;;
FOKUS Piotr Pasiuk;501499727;;
FOKUS Piotr Pasiuk;(85)6621832;;
FORM DREAM;514903465;;
FPH Leonard Rost;693865464;;
FPH Leonard Rost;601919153;;
FPHU ZAWA-PAK;666856186;;
GLAS HIT;(34)3170825;;
GLAS HIT;881460715;;
GOTFRYD i GOTFRYD S.c.;695368544;;
GOTFRYD i GOTFRYD S.c.;(13)4471087;;
GREVO;(84)6278741;;
GREVO;601438562;;
Grupa Zachodnia;(61)8435540;;
Grupa Zachodnia;(61)8435542;;
HATEX;(68)3609360;;
HATEX;(68)3774980;;
HOSTER Hurtownia Opakowań Szklanych;(32)4313150;;
HOSTER Hurtownia Opakowań Szklanych;(32)4316315;;
Hurtownia Artykułów Przemysłowych ADAM;(68)3299950;;
Hurtownia BOX;602250721;;
Hurtownia BOX;604237310;;
Hurtownia RÓŻA Terpin Antoni, Mróz Jan;(17)8521260;;
Hurtownia RÓŻA Terpin Antoni, Mróz Jan;(17)8501113;;
Hurtownia Świat Świec;723209090;;
Hurtownia Świat Świec;792200450;;
Hurtownia Zniczy;503669633;;
Hurtownia Zniczy;501498324;;
IMPULS;600380760;;
IMPULS;606818731;;
INTERLIGHT Stefan Walędziak;(85)7376009;;
INTERLIGHT Stefan Walędziak;(85)7375947;;
JANIK;(62)5810615;;
JANIK;(62)5812270;;
JOANNA Ręczne Ozdabianie Świec Arkadiusz Boniecki;600077858;;
JORG Jerzy Eliasz;(32)4562555;;
JUPITER;(29)7578167;;
JUPITER;505104004;;
JWD S.c.;(91)5610074;;
JWD S.c.;502613700;;
KAJ Znicze;(41)3616000;;
KAJ Znicze;(41)3489007;;
KALIA S.c. Krzysztof Liana, Jarosław Turek;(18)3528650;;
Kallisto;605673380;;
KANDOR;(54)2872283;;
KANDOR;601654549;;
KARAD Sklep Internetowy www.ozdobneswiece.pl;506616675;;
KASTOM Producent Wkładów i Zniczy;884310245;;
KASTOM Sklep Internetowy Zrobswiece.pl;884310245;;
KCB Interlight Sp. z o.o.;(52)3558207;;
KCB Interlight Sp. z o.o.;(52)3558447;;
KOMPOZYCJA Andrzej Moszko;(059)8425986;;
KON-MAG;(48)6217288;;
KON-MAG;502255988;;
KORONA S.A.;(43)8437700;;
KORONA S.A.;(43)8437788;;
L.S Grzegorz Lipiec Zielona Góra;734138735;;
L.V. Marek Prędkiewicz;(68)3255950;;
L.V. Marek Prędkiewicz;(68)3205730;;
LA RU CANDELA S.c.;537333101;;
LA RU CANDELA S.c.;537333102;;
Lampion Producent Zniczy i Lampionów;(94)3465353;;
Lampion Producent Zniczy i Lampionów;669977798;;
Lasecki i Spółka Sp. z o.o. Sklep Internetowy zapachdomu.pl;508381841;;
LIGHT Ryszard Bagadziński;(61)8685865;;
LIGHT Ryszard Bagadziński;(61)8685862;;
LITTLE STAR;604643052;;
LUX LIGHT;509890326;;
Ładnie Pachnie;605634478;;
M.B. Żołędziowski S.c.;(44)7325843;;
M.B. Żołędziowski S.c.;607301105;;
MAGIC CANDLES Magdalena Babska;797540907;;
MAGMA H.Maciejczyk;(52)3510100;;
MAGMA H.Maciejczyk;663749712;;
MAGMAR Sp. z o.o.;(77)4129895;;
MAGMAR Sp. z o.o.;(77)4122912;;
Maroks P.P.U.H.;608539914;;
Maroks P.P.U.H.;698632352;;
MASTER M. i S.Zakrzewscy;(22)7814657;;
MASTER M. i S.Zakrzewscy;(22)7814658;;
Max-Pol;(71)3529520;;
MER Małgorzata Nicińska;(44)7141553;;
MER Małgorzata Nicińska;601515018;;
MOKOSZ DECOR;605111986;;
MOKOSZ DECOR;600998828;;
Monika-Art Agnieszka Goździńska;501715657;;
MP PRODUKT II Produkcja Zniczy;507105144;;
Mueller Fabryka Świec S.A.;(056)4514500;;
Mueller Fabryka Świec S.A.;(056)4514555;;
Ogólnopolskie Stowarzyszenie Producentów Świec i Zniczy;(68)3638903;;
Ogólnopolskie Stowarzyszenie Producentów Świec i Zniczy;(68)3638900;;
ORSZAK GROUP Sklep Internetowy e-swiece;513472221;;
P.H.U. Osmólscy;(85)7373554;;
P.H.U. Osmólscy;506234234;;
P.H.U. ZNICZ;(87)4284657;;
P.P. Honorata;(58)6863028;;
P.P. Honorata;(58)6865050;;
P.P.H. ADAMPOL;601781696;;
P.P.H. DOLMARK;(22)7981747-48;;
P.P.H. GRANPOL Sp.j.;(44)7571559;;
P.P.H. GRANPOL Sp.j.;605056379;;
P.P.H. Krzysztof Janusz Grześkiewicz;697249673;;
P.P.H. Magrebud Grzegorz Budek;(34)3137949;;
P.P.H. Magrebud Grzegorz Budek;692356825;;
P.P.H. PŁOMYK;(56)4745593;;
P.P.H. PŁOMYK;512181919;;
P.P.H. PŁOMYK;(62)7414579;;
P.P.H. PŁOMYK;601829444;;
P.P.H. QBA;602459740;;
P.P.H.U LAMPION;(061)4388020;;
P.P.H.U PANDA S.c. Klaudia Sworowska, Sławomir Sworowski;601598150;;
P.P.H.U. Adak S.c. Anna Dwornik, Alicja Kierpiec, Agnieszka Dwornik;606485402;;
P.P.H.U. Adak S.c. Anna Dwornik, Alicja Kierpiec, Agnieszka Dwornik;509828159;;
P.P.H.U. AM Dekor;(32)7808375-76;;
P.P.H.U. AM Dekor;609728515;;
P.P.H.U. ANDAR;(094)3126277;;
P.P.H.U. ANNA S.c.;(74)8146787;;
P.P.H.U. ANNA S.c.;793663832;;
P.P.H.U. ARTIS S.c.;(62)7219170;;
P.P.H.U. Beti-Zen;(76)8331755;;
P.P.H.U. Beti-Zen;600036173;;
P.P.H.U. EL-ROM Elżbieta Szmyt;(52)3527387;;
P.P.H.U. EL-ROM Elżbieta Szmyt;(52)3549921;;
P.P.H.U. ELMAR Marek Kaźmierczak;(42)6801270;;
P.P.H.U. ELMAR Marek Kaźmierczak;603334639;;
P.P.H.U. JOKER Zakład Produkcji Zniczy i Świec;(61)4361566;;
P.P.H.U. JOKER Zakład Produkcji Zniczy i Świec;(61)4377536;;
P.P.H.U. KAMIX;(34)3143833;;
P.P.H.U. KAMIX;602173584;;
P.P.H.U. LIR;(055)2317575;;
P.P.H.U. LIR;601339380;;
P.P.H.U. MARCUS Jacek Niewola;604130989;;
P.P.H.U. MARCUS Jacek Niewola;(14)6561945;;
P.P.H.U. MASZ;(32)3870492;;
P.P.H.U. MASZ;(32)3870497;;
P.P.H.U. MAX-POL Zakład Pracy Chronionej;(62)7251300;;
P.P.H.U. MAX-POL Zakład Pracy Chronionej;(62)7221287;;
P.P.H.U. PROMIEŃ;(34)3592209;;
P.P.H.U. Rawax;503050125;;
P.P.H.U. Romex Wytwórnia Zniczy;(81)8656930;;
P.P.H.U. Romex Wytwórnia Zniczy;(81)8654099;;
